0, 0, Header, 1, 4, 96
1, 0, Start_track
1, 0, Time_signature, 4, 2, 24, 8
1, 0, End_track
2, 0, Start_track
2, 0, Tempo, 500000
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "Right Hand"
3, 0, Control_c, 0, 10, 64
3, 0, Control_c, 0, 7, 100
3, 0, Pitch_bend_c, 0, 8192
3, 0, Control_c, 0, 101, 0
3, 0, Control_c, 0, 100, 0
3, 0, Control_c, 0, 6, 12
3, 0, Control_c, 0, 10, 64
3, 0, Control_c, 0, 7, 100
3, 0, Pitch_bend_c, 0, 8192
3, 0, Program_c, 0, 0
3, 0, Control_c, 0, 101, 0
3, 0, Control_c, 0, 100, 0
3, 0, Control_c, 0, 6, 12
3, 0, Control_c, 0, 10, 64
3, 0, Control_c, 0, 7, 100
3, 0, Pitch_bend_c, 0, 8192
3, 0, Program_c, 0, 0
3, 0, Note_on_c, 0, 69, 103
3, 0, Control_c, 0, 101, 0
3, 0, Control_c, 0, 100, 0
3, 0, Control_c, 0, 6, 12
3, 0, Control_c, 0, 10, 64
3, 0, Control_c, 0, 7, 100
3, 0, Pitch_bend_c, 0, 8192
3, 0, Program_c, 0, 0
3, 96, Note_off_c, 0, 69, 64
3, 96, Note_on_c, 0, 69, 103
3, 144, Note_on_c, 0, 76, 103
3, 192, Note_off_c, 0, 69, 64
3, 192, Note_on_c, 0, 74, 103
3, 240, Note_off_c, 0, 76, 64
3, 288, Note_off_c, 0, 74, 64
3, 288, Note_on_c, 0, 72, 103
3, 384, Note_off_c, 0, 72, 64
3, 384, Note_on_c, 0, 71, 103
3, 480, Note_off_c, 0, 71, 64
3, 480, Note_on_c, 0, 71, 103
3, 528, Note_off_c, 0, 71, 64
3, 528, Note_on_c, 0, 71, 103
3, 576, Note_off_c, 0, 71, 64
3, 576, Note_on_c, 0, 74, 103
3, 672, Note_on_c, 0, 72, 103
3, 696, Note_off_c, 0, 74, 64
3, 720, Note_off_c, 0, 72, 64
3, 720, Note_on_c, 0, 71, 103
3, 768, Note_off_c, 0, 71, 64
3, 768, Note_on_c, 0, 69, 103
3, 864, Note_off_c, 0, 69, 64
3, 864, Note_on_c, 0, 69, 103
